organisation_name,campus_name,service_name,region_name,email,phone,website,notes,expected_wait_time,opening_hours_24_7,opening_hours_standard,opening_hours_extended,op_hours_extended_details,address,suburb,state,postcode,cost,delivery_method,level_of_care,referral_pathway,service_type,target_population,workforce_type
Satellite Foundation,Collingwood,Children and Young People,Greater Melbourne,,1800 973 444,Home - Satellite Foundation,,Less than a month,No,Yes,No,"Some programs may run in extended after hours, but generally not",22 Easey St,Collingwood,VIC,3066,N/A,"In person, Online","High intensity, Low intensity, Moderate intensity, Self management",General bookings,"Mental health promotion, Mental illness prevention","Children, Young People","Peer worker, Tertiary qualified, Vocationally qualified"
School Refusal Centre,St Kilda,School Refusal Centre,Statewide,Contact form on website,1300 299 000,https://www.schoolrefusal.com.au/,,Not applicable,No,Yes,Yes,9am to 7pm weekdays,20 Mitford St,St Kilda,VIC,3182,Paid,"Online, Outreach","High intensity, Moderate intensity",General bookings,"Mental health promotion, Specialised mental health community support services",Young People,Tertiary qualified
Scope,Hawthorn,Positive Behaviour Support,Greater Melbourne,contact@scopeaust.org.au,1300 4 72673,Positive Behaviour Support | Behaviour Management | NDIS | Scope Aust,,Not applicable,No,Yes,No,,109 Burwood Rd,Hawthorn,VIC,3122,Paid,In person,"Low intensity, Moderate intensity, Self management",,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Adult, Children, Older Adults, Specialised Services, Young People","Tertiary qualified, Vocationally qualified"
Seniors Rights Victoria,Statewide,Seniors Rights Victoria,Statewide,info@seniorsrights.org.au,1300368821 or 0396552129,https://seniorsrights.org.au/,online listing of service providers and useful information,Not applicable,Yes,Yes,Yes,,"online - headquarters at Level 2, Suite 2.5, 424 St Kilda Rd",Melbourne,VIC,3004,Free,Online,Self management,General bookings,"Mental health promotion, Mental illness prevention","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",
Sexual Assault Crisis Line,Online,After hours,Statewide,SACLFeedback@thewomens.org.au,1800 806 292,https://www.sacl.com.au/,,No timeframe,No,No,Yes,SACL operates between 5pm weeknights through to 9am the next day and throughout weekends and public holidays.,Online,,,,Free,Online,"Low intensity, Self management",Free call,"Mental health promotion, Mental illness prevention",Specialised Services,
Silvia Kennett (individual),Watsonia,Silvia Kennett (individual),Greater Melbourne,,0437828788,https://psychology.org.au/find-a-psychologist/psychologist?code=YvzMur0doBlIdk5fGpYDUw==,,Not applicable,No,No,No,Hours not available,"Shop 10, 78-92 Nepean Street, Diamond Village Shopping Centre",Watsonia,VIC,3087,Paid,"In person, Online","Low intensity, Moderate intensity",,"Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",Tertiary qualified
Smiling Mind,Online,Smiling Mind,Statewide,Online contact form on website https://www.smilingmind.com.au/contact-us,,https://www.smilingmind.com.au/,Mobile app,Not applicable,Yes,Yes,Yes,Online application - can be accessed at all times.,,,,,Free,Online,"Low intensity, Self management",,"Mental health promotion, Mental illness prevention","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",
Solana Psychology,Brunswick,Solana Psychology,Statewide,info@solanapsychology.com,0432 903 196,Solana Psychology - Brunswick Melbourne,"Languages include: English, Russian",Not applicable,No,Yes,Yes,There are extended wait times for appointments after hours,Level 1/297 Sydney Rd,Brunswick,VIC,3056,Paid,"In person, Online","Low intensity, Moderate intensity, Self management",General bookings,"Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Adult, Culturally and Linguistically Diverse",Tertiary qualified
Someone Health,Online,Someone Health,Statewide,team@someone.health,1800 491 556,https://someone.health/,,Not applicable,No,Yes,Yes,Psychologists are available online via video conferencing or phone 7 days a week.,161 Castlereagh Street,Sydney,NSW,2000,"Free, Paid",Online,"Low intensity, Moderate intensity",,Primary and specialised clinical ambulatory mental health care services,"Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",Tertiary qualified
Sonja Nota,Ivanhoe,Sonja Nota,Statewide,nota@bigpond.com,0407 062 663,https://healthpages.wiki/wiki/Mrs_Sonja_Nota_(Psychologist),,Not applicable,No,Yes,No,,9 Ivanhoe Parade,Ivanhoe,VIC,3079,N/A,In person,"High intensity, Low intensity, Moderate intensity",General bookings,Primary and specialised clinical ambulatory mental health care services,"Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",Tertiary qualified
Spectrum,Richmond,BPD Outpatient Treatment Clinic,North Western Melbourne,spectrum@easternhealth.org.au,(03) 8413 8750,Spectrum - Outpatient treatment clinics (spectrumbpd.com.au) GP referral. Ringwood East/Richmond,,Yes (but no timeframe),No,Yes,No,,110 Church St,Richmond,VIC,3121,N/A,In person,"High intensity, Moderate intensity",,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services",Specialised Services,Tertiary qualified
Spectrum,Richmond,Complex Care Service (CCS),North Western Melbourne,spectrum@easternhealth.org.au,(03) 8413 8750,Spectrum - Complex care services (spectrumbpd.com.au),,Yes (but no timeframe),No,Yes,No,,110 Church St,Richmond,VIC,3121,N/A,In person,"High intensity, Specialist",,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services",Specialised Services,Tertiary qualified
Spectrum at home,Dallas,Family Services,North Western Melbourne,info@spectrumvic.org.au,(03) 9977 9000,https://spectrumvic.org.au/,,Not applicable,No,Yes,No,,"Level 5, 61 Riggall Street",Dallas,VIC,3047,Free,In person,"Low intensity, Moderate intensity",Free call,"Mental health promotion, Mental illness prevention, Specialised mental health community support services",Families,"Peer worker, Tertiary qualified, Vocationally qualified"
Spectrum at home,Dallas,Youth Services,North Western Melbourne,info@spectrumvic.org.au,(03) 9977 9000,https://spectrumvic.org.au/,,Not applicable,No,Yes,No,,"Level 5, 61 Riggall Street",Dallas,VIC,3047,Free,In person,"Low intensity, Moderate intensity, Self management",Free call,"Mental health promotion, Mental illness prevention, Specialised mental health community support services","Children, Young People","Peer worker, Tertiary qualified, Vocationally qualified"
Spectrum at home,Sunshine,Family Services,North Western Melbourne,info@spectrumvic.org.au,(03) 9300 8600,https://spectrumvic.org.au/,,Not applicable,No,Yes,No,,163 Harvester Road,Sunshine,VIC,3020,Free,In person,"Low intensity, Moderate intensity",Free call,"Mental health promotion, Mental illness prevention, Specialised mental health community support services",Families,"Peer worker, Tertiary qualified, Vocationally qualified"
Spectrum at home,Sunshine,Youth Services,North Western Melbourne,info@spectrumvic.org.au,(03) 9300 8600,https://spectrumvic.org.au/,,Not applicable,No,Yes,No,,163 Harvester Road,Sunshine,VIC,3020,Free,In person,"Low intensity, Moderate intensity, Self management",Free call,"Mental health promotion, Mental illness prevention, Specialised mental health community support services","Children, Young People","Peer worker, Tertiary qualified, Vocationally qualified"
Streatfeild & Co Psychology,Streatfeild & Co Psychology,Streatfeild & Co Psychology,North Western Melbourne,admin@streatpsych.com,61+ 439341849,https://streatpsych.com/,,Not applicable,No,No,No,Business and after hours by appointment only.,12 Dunsford Street,Lancefield,VIC,3435,Paid,"In person, Online",Moderate intensity,,Primary and specialised clinical ambulatory mental health care services,"Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",Tertiary qualified
Succoris Psychology,Sunbury,Succoris Psychology,North Western Melbourne,reception.sunbury@succoris.com.au,03 8001 9503,Sunbury - Succoris Psychology,,Not applicable,No,Yes,No,,36 Gap Rd,Sunbury,VIC,3429,Paid,"In person, Online","Low intensity, Moderate intensity",General bookings,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",Tertiary qualified
Suicide Callback Service,Suicide Callback Service,Suicide Callback Service,Statewide,enquiries@ontheline.org.au,1300659467,https://www.suicidecallbackservice.org.au/,Service delivered by on the line https://ontheline.org.au/contact-us/,No timeframe,Yes,Yes,Yes,,PO Box 2335,Footscray,VIC,3011,Free,Online,Low intensity,Free call,"Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Tertiary qualified, Vocationally qualified"
Suicide Line Victoria,Suicide Line Victoria,Suicide Line Victoria,Statewide,No email available but contact form here: https://suicideline.org.au/contact-us/,1300 651 251,https://suicideline.org.au/,,No timeframe,Yes,Yes,Yes,24/7 phoneline,,,,,Free,Online,"Low intensity, Moderate intensity",Free call,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",Tertiary qualified
Sunrise Residential Treatment Centre,Utah,Distress Tolerance Skills - Guide,Statewide,,18554632240,https://sunrisertc.com/distress-tolerance-skills/,,No timeframe,Yes,Yes,Yes,Website with guides on some self management coping strategies,"3611 S Camino Real, Washington, Utah 84780",,,,Free,Online,Self management,Free call,Mental health promotion,Specialised Services,
Support After Suicide,Richmond,Jesuit Social Service| Richmond,Statewide,jss@jss.org.au,03 9421 7600,https://jss.org.au/,,Not applicable,No,Yes,No,,"326 Church Street, PO Box 271",Richmond,VIC,3121,Free,"In person, Online","High intensity, Moderate intensity",Free call,"Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Adult, Children, Families, Specialised Services, Young People","Peer worker, Tertiary qualified"
Support Line,Phone line,Association for Children with a Disability (ACD),Statewide,acdsupport@acd.org.au,03 9880 7000,Support Line - Association for Children with Disability (acd.org.au),,No timeframe,No,Yes,Yes,Can text 0475 577 997 or email with preferred time for a call back outside of hours.,"Level 1, 587 Canterbury Road",Surrey Hills,VIC,3127,Free,Online,"Low intensity, Moderate intensity, Self management",Free call,"Mental health promotion, Mental illness prevention, Specialised mental health community support services","Families, Specialised Services","Medical, Tertiary qualified"
Swinburne Psychology Clinic,Hawthorn,Swinburne Psychology Clinic,"Greater Melbourne, North Western Melbourne",contactmho@swinburne.edu.au,(03) 9214 8653,https://www.swinburne.edu.au/research/centres-groups-clinics/swinburne-psychology-clinic/,,Not applicable,No,Yes,Yes,Monday to Thursday: 9am to 8pm,"Swinburne University, John Street",Hawthorn,VIC,3122,"Free, Paid","In person, Online","Low intensity, Moderate intensity, Self management",,Primary and specialised clinical ambulatory mental health care services,"Adult, Children, Young People",Tertiary qualified
Talking Minds,Online,Talking Minds,Statewide,admin@talkingminds.com.au,02 9114 9977,https://talkingminds.com.au/,,Not applicable,No,Yes,No,,Argyle Street,Camden,NSW,2570,Paid,Online,"Low intensity, Moderate intensity",,"Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",Tertiary qualified
Tandem,Abbotsford,Carers support Fund,Greater Melbourne,info@tandemcarers.org.au,03 8803 5504,https://tandemcarers.org.au/Web/Web/Support/CSF.aspx,,Not applicable,No,Yes,No,,"Tandem, Wurundjeri Country, 70 Trenerry Crescent",Abbotsford,VIC,3067,Free,"In person, Online","Low intensity, Self management",,"Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services",Families,
Tandem,Abbotsford,Carers support groups,Greater Melbourne,info@tandemcarers.org.au,03 8803 5555,https://www.carersvictoria.org.au/support-groups,,Not applicable,No,Yes,No,,"Various locations across Metro Melbourne, some are virtual.",,,,Free,,"Low intensity, Self management",,"Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services",Families,"Peer worker, Tertiary qualified"
Tandem,Abbotsford,Support and Referral Line,Greater Melbourne,info@tandemcarers.org.au,03 8803 5555,https://tandemcarers.org.au/,,No timeframe,No,Yes,No,,"Tandem, Wurundjeri Country, 70 Trenerry Crescent",Abbotsford,VIC,3067,Free,,"Low intensity, Self management",Free call,"Mental health promotion, Mental illness prevention","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",Peer worker
Telecare,Blackburn,Telecare,Statewide,admin@telecare.com.au,03 90524872,https://www.telecare.com.au/,,Less than a month,No,Yes,Yes,"For Blackburn Clinic: Mon - Fri: 9:00am - 5:00pm
Sat : 10:00am - 3:00pm
Sun: Closed",173 whitehorse rd,Blackburn,VIC,3130,Paid,"In person, Online","Low intensity, Moderate intensity",,"Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Medical, Tertiary qualified"
Telecare,Online,Telecare,Statewide,admin@telecare.com.au,03 90524872,https://www.telecare.com.au/,,Less than a month,No,Yes,Yes,"For Blackburn Clinic: Mon - Fri: 9:00am - 5:00pm
Sat : 10:00am - 3:00pm
Sun: Closed",173 whitehorse rd,Blackburn,VIC,3130,Paid,"In person, Online","Low intensity, Moderate intensity",,"Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Medical, Tertiary qualified"
The Anna Centre,The Anna Centre,The Anna Centre,Statewide,admin@annacentre.com.au,(03) 5442 5066,https://www.annacentre.com.au/,,Less than a month,No,Yes,Yes,"Mon-Wed & Friday: 9am-5pm

Thursday: 9am-7.30pm

Saturday: By appointment",", 117A Queen Street, Bendigo,VIC, 3550",,,,Paid,Online,Moderate intensity,,Primary and specialised clinical ambulatory mental health care services,"Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",Tertiary qualified
The Bouverie Centre,Brunswick,Family therapy,Statewide,bouverie.centre@latrobe.edu.au,(03) 8481 4800,https://www.latrobe.edu.au/research/centres/health/bouverie,,Not applicable,No,Yes,No,,"The Bouverie Centre, La Trobe University, 8 Gardiner Street",Brunswick,VIC,3056,Free,"In person, Online","High intensity, Moderate intensity","Free call, General bookings","Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services",Families,Tertiary qualified
The Bouverie Centre,The Bouverie Centre,The Bouverie Centre,Statewide,bouverie.centre@latrobe.edu.au,(03) 8481 4800,https://www.opencounseling.com/brunswick/counseling-agency/the-bouverie-centre-la-trobe-university#affordable,"If you would like to refer yourself or someone else for family therapy, please call us on (03) 8481 4800 to book a time to speak to one of our intake workers.",Not applicable,No,Yes,No,,8 Gardiner Street,Brunswick,VIC,3056,Free,In person,"Low intensity, Moderate intensity",General bookings,Primary and specialised clinical ambulatory mental health care services,"AOD, Families, Young People",Tertiary qualified
The Centre for Ethics  Ethi-call,The Centre for Ethics  Ethi-call,The Centre for Ethics  Ethi-call,Statewide,counselling@ethics.org.au,2 8267 5734,https://ethics.org.au/advice/ethi-call/,,No timeframe,No,Yes,No,,"Legion House, Level 2/161 Castlereagh St",Sydney,NSW,2000,Free,Online,Low intensity,Free call,Mental illness prevention,"Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",
The children's private medical group,Parkville,Dr. Daryl Efron,Greater Melbourne,No email for enquires but there is a online contact form here https://www.cpmgmelbourne.com.au/contact_us,(03) 9345 6688,https://www.cpmgmelbourne.com.au/aprof-daryl-efron,,Not applicable,No,Yes,No,"Monday – Friday: 8:30am to 5:00pm
(Phone lines open: 9am-5pm)
Saturday: Closed
Sunday: Closed","Suite 3.3, Level 3, 48 Flemington Rd",Parkville,VIC,3052,Paid,In person,"Low intensity, Moderate intensity",,"Medications and procedures, Primary and specialised clinical ambulatory mental health care services","Children, Young People",Medical
The Couch Psychology,Hawthorn East,Child mediation,Greater Melbourne,Contact | Psychology Clinic | The Couch Therapy Group,(03) 8593-7500,Child Inclusive Mediation Melbourne | The Couch Therapy Group,,Not applicable,No,No,Yes,"Open Tuesday, Wednesday, Thursday 8am - 6pm",32 Camberwell Rd,Hawthorn East,VIC,3123,Paid,"In person, Online, Outreach","Low intensity, Moderate intensity",,Specialised mental health community support services,"Children, Families, Specialised Services",Tertiary qualified
The Hart Centre,Altona Meadows,Anxiety and Depression Counselling,North Western Melbourne,,1313 830 552,"Individual Relationship Counselling | Anxiety, Depression, Stress (thehartcentre.com.au)",,Not applicable,No,Yes,Yes,8am - 6pm Monday to Saturday,100 Victoria St,Altona Meadows,VIC,3028,Paid,"In person, Online","Low intensity, Moderate intensity, Self management",General bookings,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services",Specialised Services,Tertiary qualified
The Hart Centre,Altona Meadows,Relationship and Couples Counselling,North Western Melbourne,,390189567,Couples Counselling - Marriage & Relationship Counselling The Hart Centre,,Not applicable,No,Yes,Yes,8am - 6pm Monday to Saturday,100 Victoria St,Altona Meadows,VIC,3028,Paid,"In person, Online","Low intensity, Moderate intensity, Self management",General bookings,"Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Families, Specialised Services",Tertiary qualified
The Hart Centre,Carlton,Anxiety and Depression Counselling,Greater Melbourne,,1308 830 552,"Individual Relationship Counselling | Anxiety, Depression, Stress (thehartcentre.com.au)",,Not applicable,No,Yes,Yes,"8am - 8pm , seven days a week",17 Grattan St,Carlton,VIC,3053,Paid,"In person, Online","Low intensity, Moderate intensity, Self management",General bookings,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services",Specialised Services,Tertiary qualified
The Hart Centre,Carlton,Relationship and Couples Counselling,Greater Melbourne,,1300830552,Couples Counselling - Marriage & Relationship Counselling The Hart Centre,,Not applicable,No,Yes,Yes,"8am - 8pm , seven days a week",17 Grattan St,Carlton,VIC,3053,Paid,"In person, Online","Low intensity, Moderate intensity, Self management",General bookings,"Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Families, Specialised Services",Tertiary qualified
The Hart Centre,East Melbourne,Anxiety and Depression Counselling,Greater Melbourne,,1302 830 552,"Individual Relationship Counselling | Anxiety, Depression, Stress (thehartcentre.com.au)",,Not applicable,No,Yes,Yes,"8am - 8pm , seven days a week",62 Wellington Parade,East Melbourne,VIC,3002,Paid,"In person, Online","Low intensity, Moderate intensity, Self management",General bookings,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services",Specialised Services,Tertiary qualified
The Hart Centre,East Melbourne,Relationship and Couples Counselling,Greater Melbourne,,390189567,Couples Counselling - Marriage & Relationship Counselling The Hart Centre,,Not applicable,No,Yes,Yes,"8am - 8pm , seven days a week",62 Wellington Parade,East Melbourne,VIC,3002,Paid,"In person, Online","Low intensity, Moderate intensity, Self management",General bookings,"Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Families, Specialised Services",Tertiary qualified
The Hart Centre,Fitzroy North,Anxiety and Depression Counselling,North Western Melbourne,,1309 830 552,"Individual Relationship Counselling | Anxiety, Depression, Stress (thehartcentre.com.au)",,Not applicable,No,Yes,Yes,"8am - 8pm , seven days a week",21 Freeman St,Fitzroy North,VIC,3068,Paid,"In person, Online","Low intensity, Moderate intensity, Self management",General bookings,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services",Specialised Services,Tertiary qualified
The Hart Centre,Fitzroy North,Relationship and Couples Counselling,North Western Melbourne,,390189567,Couples Counselling - Marriage & Relationship Counselling The Hart Centre,,Not applicable,No,Yes,Yes,"8am - 8pm , seven days a week",21 Freeman St,Fitzroy North,VIC,3068,Paid,"In person, Online","Low intensity, Moderate intensity, Self management",General bookings,"Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Families, Specialised Services",Tertiary qualified
The Hart Centre,Mebourne,Anxiety and Depression Counselling,Greater Melbourne,,1300 830 552,"Individual Relationship Counselling | Anxiety, Depression, Stress (thehartcentre.com.au)",,Not applicable,No,Yes,Yes,"8am - 8pm , seven days a week",1/4 Bank Pl,Melbourne,VIC,3000,Paid,"In person, Online","Low intensity, Moderate intensity, Self management",General bookings,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services",Specialised Services,Tertiary qualified
The Hart Centre,Mebourne,Relationship and Couples Counselling,Greater Melbourne,,390189567,Couples Counselling - Marriage & Relationship Counselling The Hart Centre,,Not applicable,No,Yes,Yes,"8am - 8pm , seven days a week",1/4 Bank Pl,Melbourne,VIC,3000,Paid,"In person, Online","Low intensity, Moderate intensity, Self management",General bookings,"Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Families, Specialised Services",Tertiary qualified
The Hart Centre,Moonee Ponds,Anxiety and Depression Counselling,North Western Melbourne,,1310 830 552,"Individual Relationship Counselling | Anxiety, Depression, Stress (thehartcentre.com.au)",,Not applicable,No,Yes,Yes,"8am - 8pm , seven days a week",Level 2/20 Holmes Rd,Moonee Ponds,VIC,3039,Paid,"In person, Online","Low intensity, Moderate intensity, Self management",General bookings,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services",Specialised Services,Tertiary qualified
The Hart Centre,Moonee Ponds,Relationship and Couples Counselling,North Western Melbourne,,390189567,Couples Counselling - Marriage & Relationship Counselling The Hart Centre,,Not applicable,No,Yes,Yes,"8am - 8pm , seven days a week",Level 2/20 Holmes Rd,Moonee Ponds,VIC,3039,Paid,"In person, Online","Low intensity, Moderate intensity, Self management",General bookings,"Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Families, Specialised Services",Tertiary qualified
The Hart Centre,Northcote,Anxiety and Depression Counselling,North Western Melbourne,,1311 830 552,"Individual Relationship Counselling | Anxiety, Depression, Stress (thehartcentre.com.au)",,Not applicable,No,Yes,Yes,"8am - 8pm , seven days a week",273 High St,Northcote,VIC,3071,Paid,"In person, Online","Low intensity, Moderate intensity, Self management",General bookings,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services",Specialised Services,Tertiary qualified
The Hart Centre,Northcote,Relationship and Couples Counselling,North Western Melbourne,,390189567,Couples Counselling - Marriage & Relationship Counselling The Hart Centre,,Not applicable,No,Yes,Yes,"8am - 8pm , seven days a week",273 High St,Northcote,VIC,3071,Paid,"In person, Online","Low intensity, Moderate intensity, Self management",General bookings,"Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Families, Specialised Services",Tertiary qualified
The Hart Centre,Preston,Anxiety and Depression Counselling,North Western Melbourne,,1304 830 552,"Individual Relationship Counselling | Anxiety, Depression, Stress (thehartcentre.com.au)",,Not applicable,No,Yes,Yes,"8am - 8pm , seven days a week",654 Bell St,Preston,VIC,3072,Paid,"In person, Online","Low intensity, Moderate intensity, Self management",General bookings,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services",Specialised Services,Tertiary qualified
The Hart Centre,Preston,Relationship and Couples Counselling,North Western Melbourne,,1300830552,Couples Counselling - Marriage & Relationship Counselling The Hart Centre,,Not applicable,No,Yes,Yes,"8am - 8pm , seven days a week",654 Bell St,Preston,VIC,3072,Paid,"In person, Online","Low intensity, Moderate intensity, Self management",General bookings,"Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Families, Specialised Services",Tertiary qualified
The Hart Centre,Richmond,Anxiety and Depression Counselling,Greater Melbourne,,1305 830 552,"Individual Relationship Counselling | Anxiety, Depression, Stress (thehartcentre.com.au)",,Not applicable,No,Yes,Yes,"8am - 8pm , seven days a week","AKM Centre, Building Suite 11/24 Tanner St",Richmond,VIC,3121,Paid,"In person, Online","Low intensity, Moderate intensity, Self management",General bookings,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services",Specialised Services,Tertiary qualified
The Hart Centre,Richmond,Relationship and Couples Counselling,Greater Melbourne,,390189567,Couples Counselling - Marriage & Relationship Counselling The Hart Centre,,Not applicable,No,Yes,Yes,"8am - 8pm , seven days a week","AKM Centre, Building Suite 11/24 Tanner St",Richmond,VIC,3121,Paid,"In person, Online","Low intensity, Moderate intensity, Self management",General bookings,"Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Families, Specialised Services",Tertiary qualified
The Hart Centre,Sunbury,Anxiety and Depression Counselling,North Western Melbourne,,1312 830 552,"Individual Relationship Counselling | Anxiety, Depression, Stress (thehartcentre.com.au)",,Not applicable,No,Yes,Yes,8am - 6pm Monday to Saturday,5 Waller Ct,Sunbury,VIC,3429,Paid,"In person, Online","Low intensity, Moderate intensity, Self management",General bookings,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services",Specialised Services,Tertiary qualified
The Hart Centre,Sunbury,Relationship and Couples Counselling,North Western Melbourne,,390189567,Couples Counselling - Marriage & Relationship Counselling The Hart Centre,,Not applicable,No,Yes,Yes,8am - 6pm Monday to Saturday,5 Waller Ct,Sunbury,VIC,3429,Paid,"In person, Online","Low intensity, Moderate intensity, Self management",General bookings,"Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Families, Specialised Services",Tertiary qualified
The Hart Centre,West Melbourne,Anxiety and Depression Counselling,North Western Melbourne,,1314 830 552,"Individual Relationship Counselling | Anxiety, Depression, Stress (thehartcentre.com.au)",,Not applicable,No,Yes,Yes,8am - 6pm Monday to Saturday,50 Dudley St,West Melbourne,VIC,3003,Paid,"In person, Online","Low intensity, Moderate intensity, Self management",General bookings,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services",Specialised Services,Tertiary qualified
The Hart Centre,West Melbourne,Relationship and Couples Counselling,North Western Melbourne,,390189567,Couples Counselling - Marriage & Relationship Counselling The Hart Centre,,Not applicable,No,Yes,Yes,8am - 6pm Monday to Saturday,50 Dudley St,West Melbourne,VIC,3003,Paid,"In person, Online","Low intensity, Moderate intensity, Self management",General bookings,"Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Families, Specialised Services",Tertiary qualified
The Melbourne Clinic,Richmond,The Melbourne Clinic,Statewide,,394294688,https://themelbourneclinic.com.au/,,Not applicable,Yes,No,No,,130 Church St,Richmond,VIC,3121,N/A,"In person, Online, Outreach","High intensity, Low intensity, Moderate intensity, Self management, Specialist",,"Medications and procedures, Primary and specialised clinical ambulatory mental health care services, Specialised bed-based mental health care services, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Medical, Peer worker, Tertiary qualified, Vocationally qualified"
